214;minise;46;Zowie FK2;800;1.7;1280x960
215;dycha;46;Zowie EC2-A;0;0;1650x1080
216;Snax;47;Zowie FK2 White Edition;400;2.4;1280x960
217;byali;47;Logitech G Pro Wireless;800;1;1680x1050
218;MICHU;47;Zowie EC2-A;800;0.37;1280x960
219;TOAO;47;Zowie EC2-A;800;1.1;1024x768
220;snatchie;47;Zowie FK1;400;2;800x600
221;morelz;47;Zowie S2 Divina Edition;400;3.03;1280x960
222;bit;48;Zowie ZA12;400;2.3;1280x1024
223;pronax;49;Zowie EC2-A;400;2;1400x900
224;znajder;49;Razer DeathAdder Chroma;400;3;1280x960
225;PlesseN;50;Zowie EC2-A;400;2;1024x768
226;to1nou;51;Zowie FK2;400;2;1024x768
227;devoduvek;51;Zowie EC2-A White Edition;400;1.8;1280x800
228;LOGAN;51;Zowie FK1;400;1.7;undefined
229;tenzki;52;Zowie EC1-A White Edition;400;1.9;1280x960
230;cromen;52;Logitech G Pro Wireless;800;0.85;1024x768
231;RUBINO;52;Logitech G Pro Wireless;400;2;1280x960
232;radifaction;52;Zowie ZA11;800;0.92;1280x960
233;b0RUP;53;Zowie EC2-A;400;2;1280x960
234;fl0m;54;SteelSeries Rival 600;800;1.4;1920x1080
235;hazed;54;Logitech G Pro Wireless;400;1.7;1024x768
236;anger;54;Logitech G Pro Wireless;400;1.9;1440x1080
237;lollipop21k;55;Razer DeathAdder Expert;400;2.66;1280x960
238;yam;56;SteelSeries Sensei;400;1.67;1024?768
239;paz;56;Zowie EC1-A;400;2;1024x768
240;MAJ3R;56;Zowie FK2;400;2.2;1024x768
241;Calyx;56;Zowie FK1 White Edition;800;1.3;1280x1024
242;imorr;56;Zowie EC2-B;400;2.2;1280x960
243;MSL;57;Zowie EC2-B;400;1.6;1024x768
244;Hiko;57;Logitech G Pro Wireless;800;2;1920x1080
245;SicK;57;Logitech G903;400;2.5;1024?768
246;niko;57;Logitech G Pro Wireless;400;1.4;1280x960
247;vice;57;Zowie EC1-B;400;2.2;1024x768
248;SHOOWTiME;58;Zowie ZA11;400;1.9;1280x960
249;zqk;58;Zowie EC1-A;500;1.66;1024x768
250;seized;59;Zowie EC2-A;400;3.1;1280x960
251;USTILO;60;Zowie FK1;800;1.1;1920x1080
252;fox;61;Logitech G Pro Wireless;400;4.2;1024x768
253;MUTiRiS;61;Zowie EC1-A;400;4.7;1024x768
254;pyth;62;Zowie EC2-A;400;2.6;1280x960
255;PKL;63;Zowie EC2-A;450;2.2;1024x768
256;biguzera;63;Zowie EC1-A;400;1.75;1280x960
257;pancc;64;Logitech G Pro Wireless;400;2.2;1024x768
258;1mpala;65;Zowie FK2;1,6;1.57;1920x1080
259;Pimp;66;Logitech G703;800;1.5;1680x1050
260;shroud;67;Logitech G303;400;2.4;1920x1080
261;innocent;67;Logitech G703;800;0.73;1024x768
262;summit1g;68;FinalMouse Air58 Ninja CBR Edition;400;1.5;1024x768
263;D0cC;68;Zowie EC2-B Divina Edition;400;2;1024x768
264;Laski;68;Zowie S1 Divina Edition;800;0.9;1024x768
265;SIXER;69;Zowie ZA12;400;2.3;1280x960
266;markeloff;69;Zowie ZA12;400;1.9;1600x900
267;flusha;69;Logitech G703 White Edition;400;1.7;1280x960
268;oskar;69;Razer DA Elite OW Edition;400;3.5;1024x768
269;NEO;69;Zowie EC2-A;400;1.85;1280x800
270;pashaBiceps;69;Razer DeathAdder Elite;400;2.2;1280x960
271;Mo;69;Zowie S2 Divina Edition;800;1;1024x768
272;DD;69;Zowie S2 Divina Edition;400;2.8;1024x768
273;Zero;69;Zowie EC2-A;800;0.95;1600x900
274;disco doplan;69;Razer DeathAdder Elite;1,8;0.35;1280x800
275;Relyks;69;Logitech G Pro Wireless;400;2;1280x960
276;DESPE;69;Zowie EC2-A;400;2;1024x768
277;ngiN;69;Razer DeathAdder Elite;400;2.5;1280x960
278;fnx;69;Zowie EC2-A;400;1.9;1280x1024
279;mistou;69;Zowie EC2-A;400;1.6;1024x768
280;glace;69;Zowie EC1-A;400;2;1280x960
281;seangares;69;Zowie EC2-A;400;1.7;1280x960
282;Karus;69;Fnatic Gear Flick G1;400;1.7;1280x960
283;Jayzwalkingz;69;SteelSeries Sensei Raw;600;1.9;1280x960
284;jasonR;69;Logitech G703;800;0.96;1600x900
285;ptr;69;Zowie EC2-A;400;2.6;1024x768
